Julian Waddy|propio|Hipsterlativo|105296|@alejoeder Aún se puede remontar. No dejemos que la ciudad caiga en malas manos ✊
JULIAN VASQUEZ|propio|vasjulian|36909|@lf_haeusler @AmericadeCali @JaimeDinas @FuriaRojaTV @diegosaviola10 @elpaiscali @stevenarce @FabianVargas6 @alejoeder @Pachovelez10 En el sur de cali , en la avenida cañasgordas en pance , estamos en Waze y Google Heart como Julián Vásquez fútbol plaza
Rodrigo Guerrero|retweet|rodrigoguerrerr|14511|Dime con quien andas como candidato y te diré como serás como Alcalde @Michel_Maya @alejoeder @robertoortizu @guillelombana @DanielSamperO @DCoronell @vanedelatorre @MabelLaraNews https://t.co/27Kjr8oUbm
JULIAN VASQUEZ|propio|vasjulian|36909|Nuestras canchas ya son sede del torneo OTI , que esperan para venir a conocerlas ⁦@AmericadeCali⁩ ⁦@JaimeDinas⁩ ⁦@FuriaRojaTV⁩ ⁦@diegosaviola10⁩ ⁦@elpaiscali⁩ ⁦@stevenarce⁩ ⁦@FabianVargas6⁩ ⁦@alejoeder⁩ ⁦@Pachovelez10⁩ https://t.co/xbTHCAfHUs
Andrés Santamaría|retweet|AnSANTAMARIA|13348|Dime con quien andas como candidato y te diré como serás como Alcalde @Michel_Maya @alejoeder @robertoortizu @guillelombana @DanielSamperO @DCoronell @vanedelatorre @MabelLaraNews https://t.co/27Kjr8oUbm
Juanita Cataño CD # 5️⃣2️⃣|propio|juanitacatano|13674|@dimartillo @Michel_Maya @alejoeder @robertoortizu @guillelombana @DanielSamperO @DCoronell @vanedelatorre @MabelLaraNews Falto esta! https://t.co/8BfeVinD0P
Natalia Bedoya|retweet|natiibedoya|53785|Dime con quien andas como candidato y te diré como serás como Alcalde @Michel_Maya @alejoeder @robertoortizu @guillelombana @DanielSamperO @DCoronell @vanedelatorre @MabelLaraNews https://t.co/27Kjr8oUbm
Rodrigo Guerrero|retweet|rodrigoguerrerr|14511|Nuestra casa abierta a los ciudadanos. Gracias a Rubén, un gran líder social de Cali. https://t.co/p4WfaCwwnt
Michel Maya|retweet|Michel_Maya|11501|El 13 de agosto en la @javerianacali será el 2° #CicloDebatesCali2019. El evento contará con la participación de @Michel_Maya @JorgeIvanOspina @alejoeder @alexduran76 @FrancinedCali Fernando Toloza @DanisRenteria @robertoortizu. #EntradaLibre, inscríbase: https://t.co/YnJt42IFIS https://t.co/1kXLiDllNn
Taliana Vargas|retweet|TalianaV|2109535|Es muy satisfactorio ver a un expandillero resocializado porque cada uno tiene una historia de superación la berraca. A ellos hay que tenderles la mano como la hermana Alba Stella, y a los jóvenes hay que protegerlos acabando las bandas que los contamina.
Taliana Vargas|retweet|TalianaV|2109535|Hoy vi una ciudad que necesita ser blindada. Tenemos las ideas y las herramientas, conocí muchos caleños echados pa'lante, que aman a su ciudad. Si todos nos unimos, nadie nos para. Hagámoslo por una Cali grande. Demos el salto adelante. https://t.co/uOlcvxcFFb
Michel Maya|retweet|Michel_Maya|11501|Hoy en la @UniversidadeUSC con @Michel_Maya @alexduran76 @alejoeder @DanisRenteria @JorgeIvanOspina @FrancinedCali hablando con #JovenesDeCali sobre cómo son protagonistas en la construcción de políticas públicas, #SomosLaFuerzaDeCreer link: https://t.co/MmWtUw952P https://t.co/LW1TPGByRh
Sara Mercedes Rodas|propio|sameroso|10282|Hoy en la @UniversidadeUSC con @Michel_Maya @alexduran76 @alejoeder @DanisRenteria @JorgeIvanOspina @FrancinedCali hablando con #JovenesDeCali sobre cómo son protagonistas en la construcción de políticas públicas, #SomosLaFuerzaDeCreer link: https://t.co/MmWtUw952P https://t.co/LW1TPGByRh
EL MONO SANCHEZ®|propio|elmonitosanchez|70916|@charperojo @oscar_concha @dimartillo @BochincheCali @DanisRenteria @alejoeder @Michel_Maya @robertoortizu @JovenPodemos 🤣🤣🤣🤣🤣🤣 ah ya se de quien se trata ..... el mega, el pascual, 18% ....
EL MONO SANCHEZ®|propio|elmonitosanchez|70916|@charperojo @oscar_concha @dimartillo @BochincheCali @DanisRenteria @alejoeder @Michel_Maya @robertoortizu @JovenPodemos Quien es ese que te bloqueó?
Jovenes con Chontico|retweet|JovenesChontico|28074|@robertoortizu Muy buena suerte don @robertoortizu cali esta con ud,esta vez las maquinarias no nos detendrán @Elrepublicano09 @argiro_castano @KettyAragon @VictorD73021427 @AlcaldiaDeCali @oscarnain @oscar_concha @Michel_Maya @alejoeder @petrogusano7 @GobValle @DilianFrancisca @ClaraLuzRoldan https://t.co/UyvegVYRYM
Taliana Vargas|retweet|TalianaV|2109535|Buenos días. Hoy, durante 24 horas y sin parar, voy a recorrer la ciudad y varias de sus zonas más inseguras para dar a conocer mi propuesta de seguridad. Porque a Cali tenemos que blindarla y yo, personalmente, voy a comandar la estrategia para lograrlo.
Taliana Vargas|retweet|TalianaV|2109535|#AEstaHora socializando con los habitantes de la comuna 7 la necesidad de un Centro de Comando y Control para coordinar todas las operaciones de la Fuerza Pública y prever delitos. 
Taliana Vargas|retweet|TalianaV|2109535|Así va nuestro recorrido de 24 horas por la seguridad de Cali.  Conocela en https://t.co/UPUy6Q7uiP.
